Reference,Text
John 3 16,"For God so loved the world, that he gave his only begotten Son..."
Psalm 23 1,The Lord is my shepherd; I shall not want.
Romans 8 28,And we know that all things work together for good to them that love God...
Philippians 4 13,I can do all things through Christ which strengtheneth me.
Genesis 1 1,In the beginning God created the heaven and the earth.
Proverbs 3 5,Trust in the Lord with all thine heart; and lean not unto thine own understanding.
Isaiah 41 10,Fear thou not; for I am with thee: be not dismayed; for I am thy God...
Matthew 11 28,"Come unto me, all ye that labour and are heavy laden, and I will give you rest."
Hebrews 11 1,"Now faith is the substance of things hoped for, the evidence of things not seen."
2-Timothy 1 7,"For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind."
Proverbs 3 5 6,Trust in the Lord with all thine heart... and he shall direct thy paths.
Psalm 91 1 2,He that dwelleth in the secret place... He is my refuge and my fortress...
Isaiah 40 29 31,He giveth power to the faint... But they that wait upon the Lord shall renew their strength...
Romans 12 1 2,"I beseech you therefore, brethren... be ye transformed by the renewing of your mind..."
Philippians 4 6 7,Be careful for nothing... the peace of God... shall keep your hearts and minds...